parameter,min,max,default,Col,Kas,CS84872,CS84885,CS84903,CS84913,CS84941,CS84944,CS84968,CS84978,CS84986,CS94894
FRI,0,1,0.5,Col,Kas,Kas,Kas,Col,Col,Kas,Kas,Col,Col,Col,Kas
FLM,0,1,0.5,Col,Kas,Col,Kas,Col,Col,Col,Kas,Col,Kas,Kas,Col
MAF2,0,1,0.5,Col,Kas,Kas,Kas,Col,Kas,Col,Col,Col,Col,Kas,Col
PIE,0,1,0.5,Col,Kas,Col,Col,Kas,Col,Kas,Col,Kas,Col,Col,Col
k,-100,100,-5.174855636,,,,,,,,,,,,
w,0,10,2.225688886,,,,,,,,,,,,
xi,0,10,0.995904472,,,,,,,,,,,,
T_vmin,-10,10,-3.5,,,,,,,,,,,,
T_vmax,0,20,17.8,,,,,,,,,,,,
Pday,0,1,1,,,,,,,,,,,,
Pnight,0,1,0,,,,,,,,,,,,
log10_FT_vs_GA,-10,10,-2.828783208,,,,,,,,,,,,
log10_Signal_threshold,0,10,4.013012528,,,,,,,,,,,,
log10_Bolting_threshold,-10,10,-10,,,,,,,,,,,,
TT_germ,0,10000,2640,,,,,,,,,,,,
TT_phyllochron,0,840,480,,,,,,,,,,,,
Tmin,-10,10,-4.4,,,,,,,,,,,,
T10,0,1,0.24,,,,,,,,,,,,
Topt,10,50,23,,,,,,,,,,,,
Tmax,25,100,44,,,,,,,,,,,,
TLN_SD,30,100,58,,,,,,,,,,,,
Dayl_FT_equal_GA,6,24,17.4,,,,,,,,,,,,
D_TtB,0,30,10,,,,,,,,,,,,
log10_FT_base,-10,6,-10,,,,,,,,,,,,
HT_min,0,30,10,,,,,,,,,,,,
HT_max,20,50,30,,,,,,,,,,,,
F_b,0,1,0.5,,,,,,,,,,,,
HT_base,0,1,0.5,,,,,,,,,,,,
